,name,first_seen,scan_date,size,trojan,virus,worm,backdoor,label
0,../data/2018-03-14/1b219bee4a8d446870026bf0d2786847261b9cc6b93a242db37ac0abee5b55e1,2018-03-14,2018-03-14,61440,4,1,31,2,worm
1,../data/2017-10-20/c54d1770e4e7515cfc83233d9c700de3ab9ffc7245ea6436434362b7f2a2214c,2017-09-20,2017-10-20,47852,14,0,0,0,trojan
2,../data/2018-03-14/aae6963078cbc31a50782a02deec5a0006ee8725706a1de9021e20e4d0a0b0cc,2018-03-14,2018-03-14,104283,10,1,4,18,backdoor
3,../data/2017-10-20/643ce87badb20c93023e43efbc046166e7dccb14fe9e4a0a70da52f7f6193a43,2017-09-20,2017-10-20,35840,0,20,0,0,virus
4,../data/2018-03-14/2f3d328dc21401795ae94d2b5ba86722c7ceff2332ed56f5ca12c079c67718ff,2018-03-13,2018-03-13,87061,13,0,27,0,worm
5,../data/2017-10-20/049e9758216f472716f4b8b0ecbb44bfd7767166cafb1988f412337cb5bcd1ca,2017-10-20,2017-10-20,2409358,17,0,4,19,backdoor
6,../data/2018-03-14/c2c0e00dab64f08165ab3a0c63533503cc14a929b91b0f225eb259fde09d1601,2018-03-14,2018-03-14,43520,2,1,27,3,worm
7,../data/2018-03-14/976a0ffa558a7e4aaab1ab7bb3e7b949c70b1d3ab8d3db19486ac410bf0b23a3,2018-03-14,2018-03-14,2438144,8,0,0,15,backdoor
8,../data/2017-10-20/ba723960c81b9411e7921d5468ddd8ac591dddb13f946ce97b53d15bcbcccb95,2017-10-20,2017-10-20,148992,3,2,27,2,worm
9,../data/2018-03-14/a09c6d85b8f8f76666c8c8a8bbcfffc99f314eaab15bcc0e65440620554e85ce,2018-03-14,2018-03-14,14264,2,10,0,0,virus
10,../data/2017-10-20/53ace4e18b7b504066150088116c627cfa601700f249065e273c810ff91be6cd,2017-10-20,2017-10-20,106496,3,16,0,1,virus
11,../data/2018-03-14/5bbd82003f4b433f5b9f00b74311e7ad24487a9c76f2d6bcc30704448f0c5458,2018-03-14,2018-03-14,6300368,2,2,0,4,backdoor
12,../data/2018-03-14/9d460e728b1c5efd40e23172f9ff10914a1310186cc4923625d92d6f54e97d18,2018-03-01,2018-03-14,8192,17,2,0,0,trojan
13,../data/2018-03-14/465f4c1939dba3435c072f59b4964b5f932648d3603d075cd8e443a22b4c30ee,2018-03-13,2018-03-13,8276,18,0,0,0,trojan
14,../data/2017-10-20/b5cb4c4e923d02cdf163e3c1fb5642af3fa0f4e926984797837cd74e4cba320b,2017-10-20,2017-10-20,66560,3,17,0,1,virus
15,../data/2017-10-20/1806af313d9778486e6b944270296fc82d3d772bf23e7d71bd45de6e97fd5b88,2017-10-20,2017-10-20,1704212,17,0,3,20,backdoor
16,../data/2018-03-14/703d6638681e42552f374253b9a496698f097948d435810cf148a8307cc407bb,2018-03-13,2018-03-13,13312,1,17,0,0,virus
17,../data/2017-10-20/aec7b9f6d5a9faa60a784e3a088f64656a8d756b72481424d5ce51d3cbe7119b,2017-10-18,2017-10-20,4485179,14,4,15,0,worm
18,../data/2017-10-20/d18e4031eee58fc189486ec5334a239838e9062fb0211fa38d2134414602ea37,2017-10-20,2017-10-20,31378,35,0,0,1,trojan
19,../data/2017-10-20/a8b9ef7892f09791065f6dbcdf60bf9db919700a5b51aec97c55735d697f8866,2017-10-20,2017-10-20,278528,3,17,1,1,virus
20,../data/2017-10-20/1e246fa762ee4c3d3ae40a849482f60882b84032443c1ccf4f90d0acb47e8c88,2017-10-19,2017-10-20,31160,3,13,0,0,virus
21,../data/2018-03-14/5902325ae996e64177cdbe2f069837139c8a9c9c485fd853ba3a6b37f0e9364f,2018-03-14,2018-03-14,61540,1,0,29,0,worm
22,../data/2018-03-14/bbbf216c446acc51cdd5e56f85ddae4285019f5be10eac27dd76c451a49c867e,2018-03-13,2018-03-13,393216,9,0,6,16,backdoor
23,../data/2018-03-14/1fd91da0348f214dafb6b519a11cd24df373daf68cf3950b386ac2f839202a96,2018-03-14,2018-03-14,241664,16,0,4,18,backdoor
24,../data/2017-10-20/3feebec59f2cd29386d0bd11033bdc2ad8e1849cc3cb15fba9f16032d4e9a770,2017-10-20,2017-10-20,51712,14,0,2,6,trojan
25,../data/2018-03-14/5ac571534963418d11d9009a767bfc7f00541b199a84b338dcf08685d53b1efb,2018-03-13,2018-03-13,14342,9,0,0,3,trojan
26,../data/2017-10-20/2fcc4d1dc6ad8fc485349fd33de3dde4f738c11d551ec6b9a4f8ccbde815e49b,2017-10-20,2017-10-20,348160,2,4,25,0,worm
27,../data/2018-03-14/839984db29df8e1fc351f71aa3c86b43d75c7ae1e800739456ed119e485f43c4,2018-03-14,2018-03-14,19968,1,17,0,0,virus
28,../data/2018-03-14/a34abe63771872900b7c43ab27a17f646cb34ff4810d2c29669300f62744abb4,2018-03-13,2018-03-13,9216,10,0,0,0,trojan
29,../data/2018-03-14/1fd4608f3b163d1e453feab54504462c970bc0a739928580e046f9ddc980bd47,2018-03-14,2018-03-14,40908,5,0,35,0,worm
30,../data/2017-10-20/4ec9bcbf21bc37bad628e4fbf72c19490cfa35dd123529c902a58bbf69b577d7,2017-09-20,2017-10-20,168855,9,11,0,1,virus
31,../data/2018-03-14/854c174cef3fb479c7147ce1a7577dfd5310fe89fc572f69d9ac830614495276,2018-03-14,2018-03-14,85504,4,1,32,2,worm
32,../data/2018-03-14/71b3ab78569485fa4fa5e9a853bb903a707881e6c95ce3c7702d0fe352f25548,2018-02-25,2018-03-14,11192,3,13,0,0,virus
33,../data/2018-03-14/7230f5ae69568b3437412c13507c0a365eee09bae6658ba091ba36782f596ef6,2018-03-13,2018-03-13,17408,1,16,1,0,virus
34,../data/2018-06-19/00fceb76c993decb3259f1f4b7b4cec3022c1ad24b9ad02b7c2883cc176bad1d,2017-05-04,2018-06-18,20992,8,4,0,0,trojan
35,../data/2018-03-14/22e5567b58ef940a5290d5f8cff7a3e41b9acc5e4ca514271b1601d3f62ee65a,2018-03-13,2018-03-13,16896,1,17,0,0,virus
36,../data/2017-10-20/4d1409bdcd81e4d9a40d726fb6e19d5b498408665e51685d6e93495d3a4ccc96,2017-10-19,2017-10-20,9778,9,0,0,0,trojan
37,../data/2017-10-20/00d97b9ea064e8355d799875286660e94e2160ff3264923d1890edefd43aee05,2017-10-20,2017-10-20,29696,21,0,0,9,trojan
38,../data/2017-10-20/b5a1e88ec585bf0c0d8894c1aff3e7eaaf501fd131a37813347e3560baeb96a6,2017-10-20,2017-10-20,339434,5,2,30,0,worm
