name,first_seen,scan_date,size,trojan,virus,worm,backdoor,label
../data/2017-10-20/b7c20b9f735d008b03f00cd82821fec932265f3f76267c2f2268293968e99725,2017-10-20,2017-10-20,2398683,16,0,4,21,backdoor
../data/2017-10-20/c194668434d6258b9ccaa3b0233e11a8d4be7aa10c1aeb6f1b18ab8564ed8e78,2017-10-20,2017-10-20,3580999,17,0,4,18,backdoor
../data/2017-10-20/668fe0e2ec5602f109e8a4d67bc82613d9098b37a1e60b7739761e37ead7a2c5,2017-10-20,2017-10-20,927676,16,0,4,20,backdoor
../data/2017-10-20/04c9ceeeb25c26529b25dbbb5ab5138aae33c4ef30cca366ade27426d73142e8,2017-10-20,2017-10-20,2925787,15,0,4,20,backdoor
../data/2017-10-20/8cc69caf70454371bc13f7b9535a0b6bb98278543062c1165f389ad7de3a3f40,2017-10-20,2017-10-20,2401812,17,0,4,19,backdoor
../data/2017-10-20/b1b1d663ab7bfe08861d8adcba90c5f611c981d9fcf55dddb45d7c9ae8102b97,2017-10-20,2017-10-20,2258356,16,0,4,21,backdoor
../data/2017-10-20/ccf4f39c64f46d75f2bed56e94161a259d7038fa6a05f56126e16af1c597fecd,2017-10-20,2017-10-20,4010310,17,0,4,18,backdoor
../data/2017-10-20/4ad28062f4e04e5ff9cb327cad2f726d6fb85631900edc36d7b643291ba8b2b5,2017-10-20,2017-10-20,3593600,17,0,4,19,backdoor
../data/2017-10-20/217313a3ecef51f6dcf6e3567bae8d0b619bea34ef5098cb6862e1049dc9400c,2017-10-18,2017-10-20,2027174,13,0,2,21,backdoor
../data/2017-10-20/bd9506b831ee5975f3377f110503310203f043b5f4429a86a92e3d6c1feb6119,2017-10-20,2017-10-20,3588175,17,0,4,19,backdoor
../data/2017-10-20/a53c099cc5d7b8ac263960e812ed3de324d578471884324dc9b33e4eed7f5cd1,2017-10-20,2017-10-20,3587896,17,0,4,19,backdoor
../data/2017-10-20/324e680a9f983d7aab772c6f10a095c2550583f0fd08960b5d3510a58a0d9f1e,2017-10-20,2017-10-20,3613451,16,0,4,18,backdoor
../data/2017-10-20/31c97792cf378706381d07ccf936d3231da715afc6aca4a56efae33e7fd73922,2017-10-20,2017-10-20,383488,17,0,4,19,backdoor
../data/2017-10-20/58d6fc2aac642be27e1f737e3b24649b3b2083aa785358af4b815360e577606d,2017-10-20,2017-10-20,1757004,17,0,4,19,backdoor
../data/2017-10-20/3cd5dc2077b388b147163886e915098b5b39cb2b0a7b8a67b511bc7aa887531a,2017-09-20,2017-10-20,1702176,19,0,4,20,backdoor
../data/2017-10-20/48432abfd26a078f37886b5502a9bf3092d9b1037a02915106d6d59955f8b37d,2017-10-20,2017-10-20,2086016,16,0,3,19,backdoor
../data/2017-10-20/3b0f6b5972b8f1f9931750c4cb2e24cc748785b38ffa0958eee2b17e11171f65,2017-10-12,2017-10-20,2413222,16,0,4,21,backdoor
../data/2017-10-20/221304db5385269af281cb0808238d50d7a16ce3dcd439dcc86223f59f91c7c5,2017-09-20,2017-10-20,79833,16,0,4,21,backdoor
../data/2017-10-20/1d0aad07fd4796dbac73878d46833e26385924be50ea4ae945670697a4416942,2017-10-20,2017-10-20,2392077,17,0,4,19,backdoor
../data/2017-10-20/66d02917741a280177cbf18944c4c8b0d47df5f4831a39139e3523ca946e1774,2017-10-20,2017-10-20,3590202,16,0,4,21,backdoor
../data/2017-10-20/0082f48c5f5d1e9f6b10459f35a8aedfe79e61ebd36df5c51d1c1705f4e6533a,2017-10-18,2017-10-20,241639,16,0,4,20,backdoor
../data/2017-10-20/f19e2503ad8d24eb61ec445c22a06f1fe4c3ecd7f7954bab2639704a156b248f,2017-10-20,2017-10-20,3620845,15,0,4,18,backdoor
../data/2017-10-20/328b4fb0df68a02bf22db2883d0dba7c3ded6d8731376fdc5a39048c09df829f,2017-10-20,2017-10-20,3088042,16,0,4,19,backdoor
../data/2017-10-20/82022d4404a561190ebae90849d1d0c701b325bed25a0a9dc0b13273ac3cafb9,2017-10-20,2017-10-20,3602875,17,0,4,19,backdoor
../data/2017-10-20/4da5e0d9e5df873de6a849b2308bd5c2ec8f59c90aca8878811e2c7a9d82fa1f,2017-10-19,2017-10-20,214464,17,0,3,20,backdoor
../data/2017-10-20/fdbd3df2d367e0f83accd1da326e9018be18d95f070601db6caf75dda2f311ca,2017-10-20,2017-10-20,3595954,16,0,4,21,backdoor
../data/2017-10-20/d0af0dda7da4e473bc166af6c527ff8322d750c82f0a0dc5cec93eb813edfb2b,2017-10-18,2017-10-20,614400,12,0,0,17,backdoor
../data/2017-10-20/4eee8d9ad5ed58de2391e79a3ba2d6855f37ac42409efcb6b2624d419553d7b3,2017-10-20,2017-10-20,3588500,17,0,4,19,backdoor
../data/2017-10-20/3e07e8b2585f16a7816cfb5b3e9f96b18ecb2e748777e14d8cbdc067e2c1fa58,2017-10-19,2017-10-20,2372240,16,0,4,21,backdoor
../data/2017-10-20/114338b2734617cfd3436676e018e65069dec0c5f475feaf2bb0f4774476d404,2017-10-20,2017-10-20,2858203,15,0,4,20,backdoor
../data/2017-10-20/f049d6f4a4c2c1cc0bebc80d2b4d0bbde946d193350e3c9fb29a0f870faa6a17,2017-10-20,2017-10-20,373295,16,0,4,20,backdoor
../data/2017-10-20/91234d748bad41765c9d05550d7767677dd1cf841e770bdb9652e3ca084125d1,2017-10-20,2017-10-20,3637261,17,0,4,19,backdoor
../data/2017-10-20/f038b6ef6b9aaa3ae372959cf2206674f8116be5a4aae02b377b1fd42d5f361d,2017-10-13,2017-10-20,29696,1,0,0,11,backdoor
